"Protocol","Arm","DU_Description","Cycles","Cycle_Length","Option1","Option2","Option3","Option4","Option5","Option6"
"SYN-011","TITR","SYN-011 BG",40,21,2,2,2,2,2,2
"SYN-011","TITR","SYN-011 LOW",40,21,2,4,1,0,0,0
"SYN-011","TITR","SYN-011 HIGH",40,21,0,0,1,2,3,4
"SYN-012","FIXED","SYN-012 DRUG",12,28,3,NA,NA,NA,NA,NA
"SYN-012","FIXED","SYN-012 DILUENT",12,28,1,NA,NA,NA,NA,NA
"SYN-013","TITR","SYN-013 BG",8,21,2,2,2,2,2,2
"SYN-013","TITR","SYN-013 LOW",8,21,2,4,1,0,0,0
"SYN-013","TITR","SYN-013 HIGH",8,21,0,0,1,2,3,4
"SYN-014","FIXED","SYN-014 DRUG",19,28,3,NA,NA,NA,NA,NA
"SYN-014","FIXED","SYN-014 DILUENT",19,28,1,NA,NA,NA,NA,NA
"SYN-015","FIXED","SYN-015 DRUG",26,28,3,NA,NA,NA,NA,NA
"SYN-015","FIXED","SYN-015 DILUENT",26,28,1,NA,NA,NA,NA,NA
"SYN-016","FIXED","SYN-016 DRUG",25,28,3,NA,NA,NA,NA,NA
"SYN-016","FIXED","SYN-016 DILUENT",25,28,1,NA,NA,NA,NA,NA
"SYN-017","TITR","SYN-017 BG",19,21,2,2,2,2,2,2
"SYN-017","TITR","SYN-017 LOW",19,21,2,4,1,0,0,0
"SYN-017","TITR","SYN-017 HIGH",19,21,0,0,1,2,3,4
"SYN-018","TITR","SYN-018 BG",14,21,2,2,2,2,2,2
"SYN-018","TITR","SYN-018 LOW",14,21,2,4,1,0,0,0
"SYN-018","TITR","SYN-018 HIGH",14,21,0,0,1,2,3,4
"SYN-019","FIXED","SYN-019 DRUG",17,28,3,NA,NA,NA,NA,NA
"SYN-019","FIXED","SYN-019 DILUENT",17,28,1,NA,NA,NA,NA,NA
"SYN-020","TITR","SYN-020 BG",19,21,2,2,2,2,2,2
"SYN-020","TITR","SYN-020 LOW",19,21,2,4,1,0,0,0
"SYN-020","TITR","SYN-020 HIGH",19,21,0,0,1,2,3,4
"SYN-021","FIXED","SYN-021 DRUG",18,28,3,NA,NA,NA,NA,NA
"SYN-021","FIXED","SYN-021 DILUENT",18,28,1,NA,NA,NA,NA,NA
"SYN-022","FIXED","SYN-022 DRUG",30,28,3,NA,NA,NA,NA,NA
"SYN-022","FIXED","SYN-022 DILUENT",30,28,1,NA,NA,NA,NA,NA
"SYN-023","TITR","SYN-023 BG",10,21,2,2,2,2,2,2
"SYN-023","TITR","SYN-023 LOW",10,21,2,4,1,0,0,0
"SYN-023","TITR","SYN-023 HIGH",10,21,0,0,1,2,3,4
"SYN-024","TITR","SYN-024 BG",10,21,2,2,2,2,2,2
"SYN-024","TITR","SYN-024 LOW",10,21,2,4,1,0,0,0
"SYN-024","TITR","SYN-024 HIGH",10,21,0,0,1,2,3,4
"SYN-025","FIXED","SYN-025 DRUG",23,28,3,NA,NA,NA,NA,NA
"SYN-025","FIXED","SYN-025 DILUENT",23,28,1,NA,NA,NA,NA,NA
"SYN-026","TITR","SYN-026 BG",16,21,2,2,2,2,2,2
"SYN-026","TITR","SYN-026 LOW",16,21,2,4,1,0,0,0
"SYN-026","TITR","SYN-026 HIGH",16,21,0,0,1,2,3,4
"SYN-027","FIXED","SYN-027 DRUG",15,28,3,NA,NA,NA,NA,NA
"SYN-027","FIXED","SYN-027 DILUENT",15,28,1,NA,NA,NA,NA,NA
"SYN-028","TITR","SYN-028 BG",30,21,2,2,2,2,2,2
"SYN-028","TITR","SYN-028 LOW",30,21,2,4,1,0,0,0
"SYN-028","TITR","SYN-028 HIGH",30,21,0,0,1,2,3,4
"SYN-029","FIXED","SYN-029 DRUG",14,28,3,NA,NA,NA,NA,NA
"SYN-029","FIXED","SYN-029 DILUENT",14,28,1,NA,NA,NA,NA,NA
"SYN-030","TITR","SYN-030 BG",26,21,2,2,2,2,2,2
"SYN-030","TITR","SYN-030 LOW",26,21,2,4,1,0,0,0
"SYN-030","TITR","SYN-030 HIGH",26,21,0,0,1,2,3,4
"SYN-031","TITR","SYN-031 BG",30,21,2,2,2,2,2,2
"SYN-031","TITR","SYN-031 LOW",30,21,2,4,1,0,0,0
"SYN-031","TITR","SYN-031 HIGH",30,21,0,0,1,2,3,4
"SYN-032","FIXED","SYN-032 DRUG",30,21,3,NA,NA,NA,NA,NA
"SYN-032","FIXED","SYN-032 DILUENT",30,21,1,NA,NA,NA,NA,NA
"SYN-033","FIXED","SYN-033 DRUG",14,28,3,NA,NA,NA,NA,NA
"SYN-033","FIXED","SYN-033 DILUENT",14,28,1,NA,NA,NA,NA,NA
"SYN-034","TITR","SYN-034 BG",9,21,2,2,2,2,2,2
"SYN-034","TITR","SYN-034 LOW",9,21,2,4,1,0,0,0
"SYN-034","TITR","SYN-034 HIGH",9,21,0,0,1,2,3,4
"SYN-035","TITR","SYN-035 BG",20,21,2,2,2,2,2,2
"SYN-035","TITR","SYN-035 LOW",20,21,2,4,1,0,0,0
"SYN-035","TITR","SYN-035 HIGH",20,21,0,0,1,2,3,4
"SYN-036","TITR","SYN-036 BG",16,21,2,2,2,2,2,2
"SYN-036","TITR","SYN-036 LOW",16,21,2,4,1,0,0,0
"SYN-036","TITR","SYN-036 HIGH",16,21,0,0,1,2,3,4
"SYN-037","FIXED","SYN-037 DRUG",22,21,3,NA,NA,NA,NA,NA
"SYN-037","FIXED","SYN-037 DILUENT",22,21,1,NA,NA,NA,NA,NA
"SYN-038","TITR","SYN-038 BG",40,21,2,2,2,2,2,2
"SYN-038","TITR","SYN-038 LOW",40,21,2,4,1,0,0,0
"SYN-038","TITR","SYN-038 HIGH",40,21,0,0,1,2,3,4
"SYN-039","FIXED","SYN-039 DRUG",11,28,3,NA,NA,NA,NA,NA
"SYN-039","FIXED","SYN-039 DILUENT",11,28,1,NA,NA,NA,NA,NA
"SYN-040","FIXED","SYN-040 DRUG",20,28,3,NA,NA,NA,NA,NA
"SYN-040","FIXED","SYN-040 DILUENT",20,28,1,NA,NA,NA,NA,NA
"SYN-041","TITR","SYN-041 BG",11,21,2,2,2,2,2,2
"SYN-041","TITR","SYN-041 LOW",11,21,2,4,1,0,0,0
"SYN-041","TITR","SYN-041 HIGH",11,21,0,0,1,2,3,4
"SYN-042","TITR","SYN-042 BG",12,21,2,2,2,2,2,2
"SYN-042","TITR","SYN-042 LOW",12,21,2,4,1,0,0,0
"SYN-042","TITR","SYN-042 HIGH",12,21,0,0,1,2,3,4
"SYN-043","TITR","SYN-043 BG",22,21,2,2,2,2,2,2
"SYN-043","TITR","SYN-043 LOW",22,21,2,4,1,0,0,0
"SYN-043","TITR","SYN-043 HIGH",22,21,0,0,1,2,3,4
"SYN-044","FIXED","SYN-044 DRUG",36,21,3,NA,NA,NA,NA,NA
"SYN-044","FIXED","SYN-044 DILUENT",36,21,1,NA,NA,NA,NA,NA
"SYN-045","TITR","SYN-045 BG",37,21,2,2,2,2,2,2
"SYN-045","TITR","SYN-045 LOW",37,21,2,4,1,0,0,0
"SYN-045","TITR","SYN-045 HIGH",37,21,0,0,1,2,3,4
"SYN-046","FIXED","SYN-046 DRUG",30,28,3,NA,NA,NA,NA,NA
"SYN-046","FIXED","SYN-046 DILUENT",30,28,1,NA,NA,NA,NA,NA
"SYN-047","FIXED","SYN-047 DRUG",40,21,3,NA,NA,NA,NA,NA
"SYN-047","FIXED","SYN-047 DILUENT",40,21,1,NA,NA,NA,NA,NA
"SYN-048","TITR","SYN-048 BG",22,21,2,2,2,2,2,2
"SYN-048","TITR","SYN-048 LOW",22,21,2,4,1,0,0,0
"SYN-048","TITR","SYN-048 HIGH",22,21,0,0,1,2,3,4
"SYN-049","FIXED","SYN-049 DRUG",26,28,3,NA,NA,NA,NA,NA
"SYN-049","FIXED","SYN-049 DILUENT",26,28,1,NA,NA,NA,NA,NA
"SYN-050","TITR","SYN-050 BG",22,21,2,2,2,2,2,2
"SYN-050","TITR","SYN-050 LOW",22,21,2,4,1,0,0,0
"SYN-050","TITR","SYN-050 HIGH",22,21,0,0,1,2,3,4
"SYN-051","FIXED","SYN-051 DRUG",30,28,3,NA,NA,NA,NA,NA
"SYN-051","FIXED","SYN-051 DILUENT",30,28,1,NA,NA,NA,NA,NA
"SYN-052","FIXED","SYN-052 DRUG",10,28,3,NA,NA,NA,NA,NA
"SYN-052","FIXED","SYN-052 DILUENT",10,28,1,NA,NA,NA,NA,NA
"SYN-053","FIXED","SYN-053 DRUG",32,28,3,NA,NA,NA,NA,NA
"SYN-053","FIXED","SYN-053 DILUENT",32,28,1,NA,NA,NA,NA,NA
"SYN-054","FIXED","SYN-054 DRUG",17,28,3,NA,NA,NA,NA,NA
"SYN-054","FIXED","SYN-054 DILUENT",17,28,1,NA,NA,NA,NA,NA
"SYN-055","TITR","SYN-055 BG",38,21,2,2,2,2,2,2
"SYN-055","TITR","SYN-055 LOW",38,21,2,4,1,0,0,0
"SYN-055","TITR","SYN-055 HIGH",38,21,0,0,1,2,3,4
"SYN-056","FIXED","SYN-056 DRUG",40,21,3,NA,NA,NA,NA,NA
"SYN-056","FIXED","SYN-056 DILUENT",40,21,1,NA,NA,NA,NA,NA
"SYN-057","TITR","SYN-057 BG",40,21,2,2,2,2,2,2
"SYN-057","TITR","SYN-057 LOW",40,21,2,4,1,0,0,0
"SYN-057","TITR","SYN-057 HIGH",40,21,0,0,1,2,3,4
"SYN-058","FIXED","SYN-058 DRUG",14,28,3,NA,NA,NA,NA,NA
"SYN-058","FIXED","SYN-058 DILUENT",14,28,1,NA,NA,NA,NA,NA
"SYN-059","FIXED","SYN-059 DRUG",31,28,3,NA,NA,NA,NA,NA
"SYN-059","FIXED","SYN-059 DILUENT",31,28,1,NA,NA,NA,NA,NA
"SYN-060","FIXED","SYN-060 DRUG",40,28,3,NA,NA,NA,NA,NA
"SYN-060","FIXED","SYN-060 DILUENT",40,28,1,NA,NA,NA,NA,NA
"SYN-061","FIXED","SYN-061 DRUG",30,28,3,NA,NA,NA,NA,NA
"SYN-061","FIXED","SYN-061 DILUENT",30,28,1,NA,NA,NA,NA,NA
"SYN-062","TITR","SYN-062 BG",10,21,2,2,2,2,2,2
"SYN-062","TITR","SYN-062 LOW",10,21,2,4,1,0,0,0
"SYN-062","TITR","SYN-062 HIGH",10,21,0,0,1,2,3,4
"SYN-063","FIXED","SYN-063 DRUG",17,28,3,NA,NA,NA,NA,NA
"SYN-063","FIXED","SYN-063 DILUENT",17,28,1,NA,NA,NA,NA,NA
"SYN-064","FIXED","SYN-064 DRUG",26,28,3,NA,NA,NA,NA,NA
"SYN-064","FIXED","SYN-064 DILUENT",26,28,1,NA,NA,NA,NA,NA
"SYN-065","TITR","SYN-065 BG",40,21,2,2,2,2,2,2
"SYN-065","TITR","SYN-065 LOW",40,21,2,4,1,0,0,0
"SYN-065","TITR","SYN-065 HIGH",40,21,0,0,1,2,3,4
"SYN-066","FIXED","SYN-066 DRUG",36,28,3,NA,NA,NA,NA,NA
"SYN-066","FIXED","SYN-066 DILUENT",36,28,1,NA,NA,NA,NA,NA
"SYN-067","FIXED","SYN-067 DRUG",23,28,3,NA,NA,NA,NA,NA
"SYN-067","FIXED","SYN-067 DILUENT",23,28,1,NA,NA,NA,NA,NA
"SYN-068","TITR","SYN-068 BG",18,21,2,2,2,2,2,2
"SYN-068","TITR","SYN-068 LOW",18,21,2,4,1,0,0,0
"SYN-068","TITR","SYN-068 HIGH",18,21,0,0,1,2,3,4
"SYN-069","TITR","SYN-069 BG",19,21,2,2,2,2,2,2
"SYN-069","TITR","SYN-069 LOW",19,21,2,4,1,0,0,0
"SYN-069","TITR","SYN-069 HIGH",19,21,0,0,1,2,3,4
"SYN-070","FIXED","SYN-070 DRUG",18,28,3,NA,NA,NA,NA,NA
"SYN-070","FIXED","SYN-070 DILUENT",18,28,1,NA,NA,NA,NA,NA
"SYN-071","FIXED","SYN-071 DRUG",26,21,3,NA,NA,NA,NA,NA
"SYN-071","FIXED","SYN-071 DILUENT",26,21,1,NA,NA,NA,NA,NA
"SYN-072","FIXED","SYN-072 DRUG",19,28,3,NA,NA,NA,NA,NA
"SYN-072","FIXED","SYN-072 DILUENT",19,28,1,NA,NA,NA,NA,NA
"SYN-073","TITR","SYN-073 BG",19,21,2,2,2,2,2,2
"SYN-073","TITR","SYN-073 LOW",19,21,2,4,1,0,0,0
"SYN-073","TITR","SYN-073 HIGH",19,21,0,0,1,2,3,4
"SYN-074","TITR","SYN-074 BG",7,21,2,2,2,2,2,2
"SYN-074","TITR","SYN-074 LOW",7,21,2,4,1,0,0,0
"SYN-074","TITR","SYN-074 HIGH",7,21,0,0,1,2,3,4
"SYN-075","FIXED","SYN-075 DRUG",16,28,3,NA,NA,NA,NA,NA
"SYN-075","FIXED","SYN-075 DILUENT",16,28,1,NA,NA,NA,NA,NA
"SYN-076","FIXED","SYN-076 DRUG",28,28,3,NA,NA,NA,NA,NA
"SYN-076","FIXED","SYN-076 DILUENT",28,28,1,NA,NA,NA,NA,NA
"SYN-077","FIXED","SYN-077 DRUG",21,28,3,NA,NA,NA,NA,NA
"SYN-077","FIXED","SYN-077 DILUENT",21,28,1,NA,NA,NA,NA,NA
"SYN-078","TITR","SYN-078 BG",12,21,2,2,2,2,2,2
"SYN-078","TITR","SYN-078 LOW",12,21,2,4,1,0,0,0
"SYN-078","TITR","SYN-078 HIGH",12,21,0,0,1,2,3,4
"SYN-079","FIXED","SYN-079 DRUG",19,28,3,NA,NA,NA,NA,NA
"SYN-079","FIXED","SYN-079 DILUENT",19,28,1,NA,NA,NA,NA,NA
"SYN-080","TITR","SYN-080 BG",22,21,2,2,2,2,2,2
"SYN-080","TITR","SYN-080 LOW",22,21,2,4,1,0,0,0
"SYN-080","TITR","SYN-080 HIGH",22,21,0,0,1,2,3,4
"SYN-081","FIXED","SYN-081 DRUG",24,28,3,NA,NA,NA,NA,NA
"SYN-081","FIXED","SYN-081 DILUENT",24,28,1,NA,NA,NA,NA,NA
"SYN-082","FIXED","SYN-082 DRUG",40,28,3,NA,NA,NA,NA,NA
"SYN-082","FIXED","SYN-082 DILUENT",40,28,1,NA,NA,NA,NA,NA
"SYN-083","TITR","SYN-083 BG",11,21,2,2,2,2,2,2
"SYN-083","TITR","SYN-083 LOW",11,21,2,4,1,0,0,0
"SYN-083","TITR","SYN-083 HIGH",11,21,0,0,1,2,3,4
"SYN-084","TITR","SYN-084 BG",18,21,2,2,2,2,2,2
"SYN-084","TITR","SYN-084 LOW",18,21,2,4,1,0,0,0
"SYN-084","TITR","SYN-084 HIGH",18,21,0,0,1,2,3,4
"SYN-085","TITR","SYN-085 BG",30,21,2,2,2,2,2,2
"SYN-085","TITR","SYN-085 LOW",30,21,2,4,1,0,0,0
"SYN-085","TITR","SYN-085 HIGH",30,21,0,0,1,2,3,4
"SYN-086","TITR","SYN-086 BG",12,21,2,2,2,2,2,2
"SYN-086","TITR","SYN-086 LOW",12,21,2,4,1,0,0,0
"SYN-086","TITR","SYN-086 HIGH",12,21,0,0,1,2,3,4
"SYN-087","FIXED","SYN-087 DRUG",26,28,3,NA,NA,NA,NA,NA
"SYN-087","FIXED","SYN-087 DILUENT",26,28,1,NA,NA,NA,NA,NA
"SYN-088","TITR","SYN-088 BG",23,21,2,2,2,2,2,2
"SYN-088","TITR","SYN-088 LOW",23,21,2,4,1,0,0,0
"SYN-088","TITR","SYN-088 HIGH",23,21,0,0,1,2,3,4
"SYN-089","FIXED","SYN-089 DRUG",16,28,3,NA,NA,NA,NA,NA
"SYN-089","FIXED","SYN-089 DILUENT",16,28,1,NA,NA,NA,NA,NA
"SYN-090","TITR","SYN-090 BG",10,21,2,2,2,2,2,2
"SYN-090","TITR","SYN-090 LOW",10,21,2,4,1,0,0,0
"SYN-090","TITR","SYN-090 HIGH",10,21,0,0,1,2,3,4
"SYN-091","FIXED","SYN-091 DRUG",16,28,3,NA,NA,NA,NA,NA
"SYN-091","FIXED","SYN-091 DILUENT",16,28,1,NA,NA,NA,NA,NA
"SYN-092","FIXED","SYN-092 DRUG",33,21,3,NA,NA,NA,NA,NA
"SYN-092","FIXED","SYN-092 DILUENT",33,21,1,NA,NA,NA,NA,NA
"SYN-093","FIXED","SYN-093 DRUG",18,28,3,NA,NA,NA,NA,NA
"SYN-093","FIXED","SYN-093 DILUENT",18,28,1,NA,NA,NA,NA,NA
"SYN-094","FIXED","SYN-094 DRUG",24,28,3,NA,NA,NA,NA,NA
"SYN-094","FIXED","SYN-094 DILUENT",24,28,1,NA,NA,NA,NA,NA
"SYN-095","TITR","SYN-095 BG",28,21,2,2,2,2,2,2
"SYN-095","TITR","SYN-095 LOW",28,21,2,4,1,0,0,0
"SYN-095","TITR","SYN-095 HIGH",28,21,0,0,1,2,3,4
"SYN-096","FIXED","SYN-096 DRUG",18,28,3,NA,NA,NA,NA,NA
"SYN-096","FIXED","SYN-096 DILUENT",18,28,1,NA,NA,NA,NA,NA
"SYN-097","TITR","SYN-097 BG",40,21,2,2,2,2,2,2
"SYN-097","TITR","SYN-097 LOW",40,21,2,4,1,0,0,0
"SYN-097","TITR","SYN-097 HIGH",40,21,0,0,1,2,3,4
"SYN-098","TITR","SYN-098 BG",10,21,2,2,2,2,2,2
"SYN-098","TITR","SYN-098 LOW",10,21,2,4,1,0,0,0
"SYN-098","TITR","SYN-098 HIGH",10,21,0,0,1,2,3,4
