"protocol_id","phase","therapeutic_area","status","sites_count","enrollment_target","titrates","cycle_len","end_imputed","synthetic","donor"
"SYN-001","Phase II","Inflammation & Immunology","Ongoing",44,431,FALSE,21,FALSE,TRUE,"I&I-001"
"SYN-002","Phase I","Vaccines","Ongoing",10,104,TRUE,21,FALSE,TRUE,"VAC-004"
"SYN-003","Phase I","Neurology","Ongoing",11,78,TRUE,21,FALSE,TRUE,"NEU-2024-003"
"SYN-004","Phase III","Inflammation & Immunology","Planning",46,277,FALSE,28,FALSE,TRUE,"II-010"
"SYN-005","Phase III","Vaccines","Ongoing",24,339,FALSE,28,FALSE,TRUE,"VAC-008"
"SYN-006","Phase I","Vaccines","Planning",11,76,TRUE,21,FALSE,TRUE,"VAC-012"
"SYN-007","Phase III","Internal Medicine","Ongoing",30,269,FALSE,28,FALSE,TRUE,"IM-002"
"SYN-008","Phase II","Inflammation & Immunology","Ongoing",41,266,FALSE,21,FALSE,TRUE,"I&I-001"
"SYN-009","Phase III","Vaccines","Ongoing",33,274,FALSE,28,FALSE,TRUE,"VAC-008"
"SYN-010","Phase I","Internal Medicine","Planning",3,60,TRUE,21,FALSE,TRUE,"IM-001"
"SYN-011","Phase II","Oncology","Ongoing",21,191,TRUE,21,FALSE,TRUE,"ONC-001"
"SYN-012","Phase III","Vaccines","Ongoing",28,201,FALSE,28,FALSE,TRUE,"VAC-008"
"SYN-013","Phase I","Vaccines","Planning",7,52,TRUE,21,FALSE,TRUE,"VAC-012"
"SYN-014","Phase III","Internal Medicine","Ongoing",74,382,FALSE,28,FALSE,TRUE,"IM-002"
"SYN-015","Phase III","Inflammation & Immunology","Planning",40,329,FALSE,28,FALSE,TRUE,"II-010"
"SYN-016","Phase III","Internal Medicine","Ongoing",46,311,FALSE,28,FALSE,TRUE,"IM-002"
"SYN-017","Phase II","Oncology","Ongoing",32,215,TRUE,21,FALSE,TRUE,"ONC-003"
"SYN-018","Phase I","Neurology","Ongoing",12,73,TRUE,21,FALSE,TRUE,"NEU-2024-003"
"SYN-019","Phase III","Vaccines","Ongoing",39,313,FALSE,28,FALSE,TRUE,"VAC-008"
"SYN-020","Phase I","Oncology","Planning",17,140,TRUE,21,FALSE,TRUE,"ONC-007"
"SYN-021","Phase III","Cardiology","Planning",73,358,FALSE,28,FALSE,TRUE,"CVD-2024-002"
"SYN-022","Phase III","Cardiology","Planning",37,344,FALSE,28,FALSE,TRUE,"CVD-2024-002"
"SYN-023","Phase I","Vaccines","Ongoing",12,98,TRUE,21,FALSE,TRUE,"VAC-004"
"SYN-024","Phase I","Neurology","Ongoing",19,41,TRUE,21,FALSE,TRUE,"NEU-2024-003"
"SYN-025","Phase III","Cardiology","Planning",34,238,FALSE,28,FALSE,TRUE,"CVD-2024-002"
"SYN-026","Phase I","Oncology","Planning",18,68,TRUE,21,FALSE,TRUE,"ONC-007"
"SYN-027","Registration","Internal Medicine","Ongoing",53,324,FALSE,28,FALSE,TRUE,"IM-009"
"SYN-028","Phase I","Oncology","Planning",14,100,TRUE,21,FALSE,TRUE,"ONC-007"
"SYN-029","Registration","Internal Medicine","Ongoing",71,414,FALSE,28,FALSE,TRUE,"IM-009"
"SYN-030","Phase II","Oncology","Ongoing",36,206,TRUE,21,FALSE,TRUE,"ONR-2024-001"
"SYN-031","Phase II","Oncology","Ongoing",18,145,TRUE,21,FALSE,TRUE,"ONR-2024-001"
"SYN-032","Phase II","Inflammation & Immunology","Planning",26,232,FALSE,21,FALSE,TRUE,"II-003"
"SYN-033","Phase IV","Vaccines","Planning",80,10154,FALSE,28,FALSE,TRUE,"VAC-002"
"SYN-034","Phase I","Vaccines","Ongoing",15,80,TRUE,21,FALSE,TRUE,"VAC-004"
"SYN-035","Phase II","Oncology","Ongoing",45,208,TRUE,21,FALSE,TRUE,"ONC-011"
"SYN-036","Phase I","Neurology","Ongoing",11,48,TRUE,21,FALSE,TRUE,"NEU-2024-003"
"SYN-037","Phase II","Inflammation & Immunology","Planning",33,216,FALSE,21,FALSE,TRUE,"II-003"
"SYN-038","Phase II","Oncology","Ongoing",15,164,TRUE,21,FALSE,TRUE,"ONC-001"
"SYN-039","Registration","Internal Medicine","Ongoing",60,500,FALSE,28,FALSE,TRUE,"IM-009"
"SYN-040","Phase III","Inflammation & Immunology","Planning",44,364,FALSE,28,FALSE,TRUE,"II-010"
"SYN-041","Phase I","Vaccines","Ongoing",10,114,TRUE,21,FALSE,TRUE,"VAC-004"
"SYN-042","Phase I","Neurology","Ongoing",14,79,TRUE,21,FALSE,TRUE,"NEU-2024-003"
"SYN-043","Phase II","Oncology","Ongoing",25,218,TRUE,21,FALSE,TRUE,"ONR-2024-001"
"SYN-044","Phase II","Inflammation & Immunology","Planning",25,243,FALSE,21,FALSE,TRUE,"II-003"
"SYN-045","Phase II","Oncology","Ongoing",27,228,TRUE,21,FALSE,TRUE,"ONC-003"
"SYN-046","Phase III","Vaccines","Ongoing",155,29580,FALSE,28,FALSE,TRUE,"VAC-001"
"SYN-047","Phase II","Inflammation & Immunology","Ongoing",34,465,FALSE,21,FALSE,TRUE,"I&I-001"
"SYN-048","Phase II","Oncology","Ongoing",22,166,TRUE,21,FALSE,TRUE,"ONC-003"
"SYN-049","Phase III","Vaccines","Ongoing",194,27503,FALSE,28,FALSE,TRUE,"VAC-001"
"SYN-050","Phase II","Oncology","Ongoing",27,188,TRUE,21,FALSE,TRUE,"ONC-011"
"SYN-051","Phase III","Internal Medicine","Ongoing",50,372,FALSE,28,FALSE,TRUE,"IM-002"
"SYN-052","Registration","Internal Medicine","Ongoing",74,475,FALSE,28,FALSE,TRUE,"IM-009"
"SYN-053","Phase III","Internal Medicine","Ongoing",62,560,FALSE,28,FALSE,TRUE,"IM-002"
"SYN-054","Registration","Internal Medicine","Ongoing",78,300,FALSE,28,FALSE,TRUE,"IM-009"
"SYN-055","Phase II","Oncology","Ongoing",35,153,TRUE,21,FALSE,TRUE,"ONR-2024-001"
"SYN-056","Phase II","Inflammation & Immunology","Ongoing",65,456,FALSE,21,FALSE,TRUE,"I&I-001"
"SYN-057","Phase II","Oncology","Ongoing",26,140,TRUE,21,FALSE,TRUE,"ONR-2024-001"
"SYN-058","Phase III","Vaccines","Ongoing",38,432,FALSE,28,FALSE,TRUE,"VAC-008"
"SYN-059","Phase III","Cardiology","Planning",35,334,FALSE,28,FALSE,TRUE,"CVD-2024-002"
"SYN-060","Phase III","Vaccines","Ongoing",180,28804,FALSE,28,FALSE,TRUE,"VAC-001"
"SYN-061","Phase III","Cardiology","Planning",54,294,FALSE,28,FALSE,TRUE,"CVD-2024-002"
"SYN-062","Phase I","Vaccines","Planning",8,60,TRUE,21,FALSE,TRUE,"VAC-012"
"SYN-063","Phase III","Cardiology","Planning",44,249,FALSE,28,FALSE,TRUE,"CVD-2024-002"
"SYN-064","Phase IV","Vaccines","Planning",105,7445,FALSE,28,FALSE,TRUE,"VAC-002"
"SYN-065","Phase II","Oncology","Ongoing",30,155,TRUE,21,FALSE,TRUE,"ONC-011"
"SYN-066","Phase III","Vaccines","Ongoing",139,24044,FALSE,28,FALSE,TRUE,"VAC-001"
"SYN-067","Phase III","Inflammation & Immunology","Planning",40,331,FALSE,28,FALSE,TRUE,"II-010"
"SYN-068","Phase II","Oncology","Ongoing",18,165,TRUE,21,FALSE,TRUE,"ONC-003"
"SYN-069","Phase I","Oncology","Planning",15,75,TRUE,21,FALSE,TRUE,"ONC-007"
"SYN-070","Phase III","Inflammation & Immunology","Planning",56,266,FALSE,28,FALSE,TRUE,"II-010"
"SYN-071","Phase II","Inflammation & Immunology","Planning",23,287,FALSE,21,FALSE,TRUE,"II-003"
"SYN-072","Phase III","Cardiology","Planning",34,264,FALSE,28,FALSE,TRUE,"CVD-2024-002"
"SYN-073","Phase I","Vaccines","Ongoing",17,106,TRUE,21,FALSE,TRUE,"VAC-004"
"SYN-074","Phase I","Vaccines","Planning",6,64,TRUE,21,FALSE,TRUE,"VAC-012"
"SYN-075","Phase III","Vaccines","Ongoing",40,393,FALSE,28,FALSE,TRUE,"VAC-008"
"SYN-076","Phase III","Internal Medicine","Ongoing",31,249,FALSE,28,FALSE,TRUE,"IM-002"
"SYN-077","Phase III","Cardiology","Planning",46,437,FALSE,28,FALSE,TRUE,"CVD-2024-002"
"SYN-078","Phase I","Oncology","Planning",12,83,TRUE,21,FALSE,TRUE,"ONC-007"
"SYN-079","Phase III","Inflammation & Immunology","Planning",24,293,FALSE,28,FALSE,TRUE,"II-010"
"SYN-080","Phase II","Oncology","Ongoing",32,234,TRUE,21,FALSE,TRUE,"ONC-003"
"SYN-081","Phase III","Internal Medicine","Ongoing",36,203,FALSE,28,FALSE,TRUE,"IM-002"
"SYN-082","Phase III","Vaccines","Ongoing",98,25844,FALSE,28,FALSE,TRUE,"VAC-001"
"SYN-083","Phase I","Vaccines","Planning",8,65,TRUE,21,FALSE,TRUE,"VAC-012"
"SYN-084","Phase I","Internal Medicine","Planning",4,88,TRUE,21,FALSE,TRUE,"IM-001"
"SYN-085","Phase II","Oncology","Ongoing",32,309,TRUE,21,FALSE,TRUE,"ONR-2024-001"
"SYN-086","Phase I","Vaccines","Ongoing",13,132,TRUE,21,FALSE,TRUE,"VAC-004"
"SYN-087","Phase III","Inflammation & Immunology","Planning",46,452,FALSE,28,FALSE,TRUE,"II-010"
"SYN-088","Phase II","Oncology","Ongoing",18,186,TRUE,21,FALSE,TRUE,"ONC-011"
"SYN-089","Phase III","Vaccines","Ongoing",44,247,FALSE,28,FALSE,TRUE,"VAC-008"
"SYN-090","Phase I","Vaccines","Ongoing",10,113,TRUE,21,FALSE,TRUE,"VAC-004"
"SYN-091","Phase III","Internal Medicine","Ongoing",49,269,FALSE,28,FALSE,TRUE,"IM-002"
"SYN-092","Phase II","Inflammation & Immunology","Ongoing",60,475,FALSE,21,FALSE,TRUE,"I&I-001"
"SYN-093","Phase III","Inflammation & Immunology","Planning",24,357,FALSE,28,FALSE,TRUE,"II-010"
"SYN-094","Phase III","Inflammation & Immunology","Planning",32,346,FALSE,28,FALSE,TRUE,"II-010"
"SYN-095","Phase II","Oncology","Ongoing",25,215,TRUE,21,FALSE,TRUE,"ONC-003"
"SYN-096","Phase III","Inflammation & Immunology","Planning",22,289,FALSE,28,FALSE,TRUE,"II-010"
"SYN-097","Phase II","Oncology","Ongoing",16,224,TRUE,21,FALSE,TRUE,"ONC-001"
"SYN-098","Phase I","Vaccines","Planning",12,72,TRUE,21,FALSE,TRUE,"VAC-012"
